A07.9	A079	Protozoal intestinal disease, unspecified	Bệnh đường ruột do đơn bào, không xác định
A08	A08	Viral and other specified intestinal infections	Nhiễm trùng đường ruột do virus và tác nhân xác định khác
A08.0	A080	Rotaviral enteritis	Viêm ruột do rotavirus
A08.1	A081	 Acute gastroenteropathy due to Norwalk agent	Bệnh lý dạ dày ruột cấp do tác nhân Norwalk
A08.2	A082	Adenoviral enteritis	Viêm ruột do Adenovirus
A08.3	A083	Other viral enteritis	Viêm ruột do virus khác
A08.4	A084	Viral intestinal infection, unspecified	Nhiễm trùng đường ruột do virus, không xác định 
A08.5	A085	 Other specified intestinal infections	Nhiễm trùng đường ruột, xác định khác
A09	A09	Other gastroenteritis and colitis of infectious and unspecified origin	Viêm dạ dày - ruột và đại tràng do nguyên nhân nhiễm trùng và chưa xác định được nguồn gốc nhiễm trùng
A09.0	A090	Other and unspecified gastroenteritis and colitis of infectious origin 	Viêm dạ dày - ruột và đại tràng khác do nhiễm trùng và không xác định 
A09.9	A099	Gastroenteritis and colitis of unspecified origin	Viêm dạ dày - ruột và viêm đại tràng khác không rõ nguyên nhân
A15	A15	Respiratory tuberculosis, bacteriologically and histologically confirmed	Lao hô hấp, có xác nhận về vi khuẩn học và mô học
A15.0	A150	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	Lao phổi, xác nhận bằng soi đờm có cấy hoặc không cấy đờm
A15.1	A151	Tuberculosis of lung, confirmed by culture only	Lao phổi, chỉ xác nhận bằng nuôi cấy
A15.2	A152	Tuberculosis of lung, confirmed histologically	Lao phổi, xác nhận về mô học
A15.3	A153	 Tuberculosis of lung, confirmed by unspecified means	Lao phổi được xác nhận bằng những phương pháp không xác định
A15.4	A154	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically	Lao hạch lympho trong lồng ngực, xác nhận về vi trùng học và mô học
A15.5	A155	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically	Lao thanh quản, khí quản và phế quản, xác nhận về vi trùng học và mô học
A15.6	A156	Tuberculous pleurisy, confirmed bacteriologically and histologically	Lao màng phổi, xác nhận về vi trùng học và mô học
A15.7	A157	Primary respiratory tuberculosis, confirmed bacteriologically and histologically	Lao hô hấp sơ nhiễm, xác nhận về vi khuẩn học và mô học
A15.8	A158	Other respiratory tuberculosis, confirmed bacteriologically and histologically	Lao hô hấp khác, xác nhận về vi khuẩn học và mô học
A15.9	A159	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically	Lao hô hấp không xác định, xác nhận về vi khuẩn học và mô học
A16	A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	Lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học
A16.0	A160	Tuberculosis of lung, bacteriologically and histologically negative	Lao phổi, âm tính về vi khuẩn học và mô học
A16.1	A161	 Tuberculosis of lung, bacteriological and histological examination not done	Lao phổi, không xét nghiệm vi khuẩn học và mô học
A16.2	A162	Tuberculosis of lung, without mention of bacteriological or histological confirmation	Lao phổi, không đề cập đến việc xác nhận về vi khuẩn và mô học
A16.3	A163	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	Lao hạch lympho trong lồng ngực, không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.4	A164	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	Lao thanh quản, khí quản và phế quản, không đề cập đến việc xác định về vi khuẩn học và mô học
A16.5	A165	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	Lao màng phổi, không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.7	A167	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	Lao hô hấp sơ nhiễm không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.8	A168	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	Lao hô hấp khác, không đề cập đến việc xác nhận về vi khuẩn học và mô học
A16.9	A169	 Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	Lao hô hấp không xác định và không đề cập đến việc xác nhận về vi khuẩn học và mô học
A17	A17	Tuberculosis of nervous system	Lao hệ thần kinh
A17.0†	A170	 Tuberculous meningitis (G01*)	Viêm màng não do lao (G01*)
A17.1†	A171	Meningeal tuberculoma (G07*)	U lao màng não (G07*)
A17.8†	A178	Other tuberculosis of nervous system	Lao khác của hệ thần kinh
A17.9†	A179	 Tuberculosis of nervous system, unspecified (G99.8*)	Lao hệ thần kinh, không xác định (G99.8*)
A17†	A17	Tuberculosis of nervous system	Lao hệ thần kinh
A18	A18	Tuberculosis of other organs	Lao các cơ quan khác
A18.0†	A180	Tuberculosis of bones and joints	Lao xương và khớp
A18.1	A181	Tuberculosis of genitourinary system	Lao hệ tiết niệu sinh dục
A18.2	A182	Tuberculous peripheral lymphadenopathy	Bệnh lý hạch lympho ngoại vi do lao
A18.3	A183	Tuberculosis of intestines, peritoneum and mesenteric glands	Lao ruột, màng bụng và hạch mạc treo
A18.4	A184	Tuberculosis of skin and subcutaneous tissue	Lao da và mô dưới da
A18.5	A185	Tuberculosis of eye	Lao ở mắt
A18.6	A186	Tuberculosis of ear	Lao ở tai
A18.7†	A187	Tuberculosis of adrenal glands (E35.1*)	Lao tuyến thượng thận (E35.1*)
A18.8	A188	Tuberculosis of other specified organs	Lao các cơ quan khác
A19	A19	Miliary tuberculosis	Lao kê
A19.0	A190	Acute miliary tuberculosis of a single specified site	Lao kê cấp của một vị trí xác định
A19.1	A191	Acute miliary tuberculosis of multiple sites	Lao kê cấp của nhiều vị trí
A19.2	A192	Acute miliary tuberculosis, unspecified	Lao kê cấp, không xác định
A19.8	A198	 Other miliary tuberculosis	Lao kê khác
A19.9	A199	Miliary tuberculosis, unspecified	Lao kê, không xác định
A20	A20	Plague	Dịch hạch
A20.0	A200	Bubonic plague	Dịch hạch thể hạch
A20.1	A201	Cellulocutaneous plague	Dịch hạch thể viêm da mô mềm
A20.2	A202	Pneumonic plague	Dịch hạch thể phổi
A20.3	A203	Plague meningitis	Dịch hạch thể viêm màng não
A20.7	A207	Septicaemic plague	Dịch hạch thể nhiễm trùng huyết
A20.8	A208	Other forms of plague	Dịch hạch thể khác
A20.9	A209	Plague, unspecified	Dịch hạch không xác định
A21	A21	Tularaemia	Bệnh Tularensis
A21.0	A210	Ulceroglandular tularaemia	Loét hạch do tularaemia
A21.1	A211	 Oculoglandular tularaemia	Bệnh tularaemia hạch ở mắt
A21.2	A212	 Pulmonary tularaemia	Bệnh tularaemia thể phổi
A21.3	A213	 Gastrointestinal tularaemia	Bệnh tularaemia thể dạ dày ruột
A21.7	A217	 Generalized tularaemia	Bệnh tularaemia toàn thân
A21.8	A218	 Other forms of tularaemia	Bệnh tularaemia các thể khác
A21.9	A219	Tularaemia, unspecified	Bệnh tularaemia không xác định
A22	A22	Anthrax	Bệnh than
A22.0	A220	 Cutaneous anthrax	Bệnh than thể da
A22.1	A221	Pulmonary anthrax	Bệnh than thể phổi
A22.2	A222	 Gastrointestinal anthrax	Bệnh than thể dạ dày ruột
A22.7	A227	Anthrax sepsis	Bệnh than thể nhiễm trùng huyết
A22.8	A228	 Other forms of anthrax	Bệnh than thể khác
A22.9	A229	 Anthrax, unspecified	Bệnh than không xác định
A23	A23	Brucellosis	Bệnh do Brucella
A23.0	A230	Brucellosis due to Brucella melitensis	Bệnh do Brucella melitensis
A23.1	A231	Brucellosis due to Brucella abortus	Bệnh do Brucella abortus
A23.2	A232	Brucellosis due to Brucella suis	Bệnh do Brucella suis
A23.3	A233	Brucellosis due to Brucella canis	Bệnh do Brucella canis
A23.8	A238	Other brucellosis	Bệnh do Brucella khác
A23.9	A239	Brucellosis, unspecified	Bệnh do Brucella, không xác định
A24	A24	Glanders and melioidosis	Bệnh Malleomyces mallei và bệnh Malleomyces pseudomallei
A24.0	A240	Glanders	Nhiễm Malleomyces mallei (Bệnh sổ mũi ở ngựa)
A24.1	A241	 Acute and fulminating melioidosis	Bệnh Malleomyces Pseudomallei cấp tính và tối cấp
A24.2	A242	 Subacute and chronic melioidosis	Bệnh Malleomyces Pseudomallei bán cấp và mạn tính
A24.3	A243	 Other melioidosis	Bệnh Malleomyces Pseudomallei khác
A24.4	A244	Melioidosis, unspecified	Bệnh Malleomyces Pseudomallei, không xác định
A25	A25	Rat-bite fevers	Sốt do chuột cắn
A25.0	A250	 Spirillosis	Bệnh do spirilla
A25.1	A251	Streptobacillosis	Bệnh do streptobacilla
A25.9	A259	Rat-bite fever, unspecified	Sốt do chuột cắn không xác định
A26	A26	Erysipeloid	Bệnh do Erysipelothrix rhusiopathiae (viêm quầng)
A26.0	A260	 Cutaneous erysipeloid	Bệnh do Erysipelothrix ở da
A26.7	A267	Erysipelothrix sepsis	Nhiễm trùng huyết do Erysipelothrix
A26.8	A268	 Other forms of erysipeloid	Thể khác của viêm quầng
A26.9	A269	Erysipeloid, unspecified	Bệnh do Erysipelothrix không xác định
A27	A27	Leptospirosis	Bệnh do leptospira
A27.0	A270	 Leptospirosis icterohaemorrhagica	Bệnh do Leptospira gây vàng da xuất huyết
A27.8	A278	Other forms of leptospirosis	Thể khác của nhiễm leptospira
A27.9	A279	Leptospirosis, unspecified	Nhiễm leptospira, không xác định
A28	A28	Other zoonotic bacterial diseases, not elsewhere classified	Bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại
A28.0	A280	Pasteurellosis	Bệnh do Pasteurella
A28.1	A281	Cat-scratch disease	Bệnh mèo cào
A28.2	A282	 Extraintestinal yersiniosis	Nhiễm yersinia ngoài ruột
A28.8	A288	Other specified zoonotic bacterial diseases, not elsewhere classified	Bệnh nhiễm trùng do động vật truyền sang người khác, chưa được phân loại nơi khác
A28.9	A289	 Zoonotic bacterial disease, unspecified	Bệnh nhiễm trùng do động vật truyền sang người, không xác định
A30	A30	Leprosy [Hansen s disease]	Bệnh phong (bệnh Hansen)
A30.0	A300	Indeterminate leprosy	Bệnh phong bất định
A30.1	A301	Tuberculoid leprosy	Bệnh phong thể củ
A30.2	A302	Borderline tuberculoid leprosy	Bệnh phong thể củ ranh giới
A30.3	A303	Borderline leprosy	Bệnh phong thể ranh giới
A30.4	A304	Borderline lepromatous leprosy	Bệnh phong thể u ranh giới
A30.5	A305	Lepromatous leprosy	Bệnh phong thể u
A30.8	A308	Other forms of leprosy	Thể khác của bệnh phong
A30.9	A309	Leprosy, unspecified	Bệnh phong, không xác định
A31	A31	Infection due to other mycobacteria	Nhiễm trùng do mycobacteria khác
A31.0	A310	Pulmonary mycobacterial infection	Nhiễm mycobacteria ở phổi
A31.1	A311	Cutaneous mycobacterial infection	Nhiễm mycobacteria ở da
A31.8	A318	Other mycobacterial infections	Nhiễm khuẩn mycobacteria khác
A31.9	A319	 Mycobacterial infection, unspecified	Nhiễm khuẩn mycobacteria không xác định 
A32	A32	Listeriosis	Nhiễm trùng do Listeria monocytogenes
A32.0	A320	Cutaneous listeriosis	Nhiễm trùng listeria ở da
A32.1†	A321	Listerial meningitis and meningoencephalitis	Viêm màng não và viêm não màng não do Listeria
A32.7	A327	 Listerial sepsis	Nhiễm trùng do listeria
A32.8	A328	Other forms of listeriosis	Thể khác của nhiễm trùng listeria
A32.9	A329	Listeriosis, unspecified	Nhiễm listeria, không xác định 
A33	A33	Tetanus neonatorum	Bệnh uốn ván sơ sinh
A34	A34	Obstetrical tetanus	Bệnh uốn ván sản khoa
A35	A35	Other tetanus	Bệnh uốn ván khác
A36	A36	Diphtheria	Bệnh bạch hầu
A36.0	A360	Pharyngeal diphtheria	Bệnh Bạch hầu họng
A36.1	A361	Nasopharyngeal diphtheria	Bệnh bạch hầu thể mũi - họng
A36.2	A362	 Laryngeal diphtheria	Bệnh bạch hầu thanh quản
A36.3	A363	 Cutaneous diphtheria	Bệnh bạch hầu da
A36.8	A368	Other diphtheria	Bệnh bạch hầu khác
A36.9	A369	Diphtheria, unspecified	Bệnh bạch hầu, không xác định
A37	A37	Whooping cough	Bệnh ho gà
A37.0	A370	Whooping cough due to Bordetella pertussis	Bệnh ho gà do Bordetella pertussis
A37.1	A371	Whooping cough due to Bordetella parapertussis	Bệnh ho gà do Bordetella parapertussis
A37.8	A378	Whooping cough due to other Bordetella species	Bệnh ho gà do Bordetella khác
A37.9	A379	Whooping cough, unspecified	Bệnh ho gà, không đặc hiệu
A38	A38	Scarlet fever	Bệnh tinh hồng nhiệt
A39	A39	Meningococcal infection	Nhiễm trùng do não mô cầu
A39.0†	A390	Meningococcal meningitis (G01*)	Viêm màng não do não mô cầu (G01*)
A39.1†	A391	Waterhouse-Friderichsen syndrome (E35.1*)	Hội chứng Waterhouse-Friderichsen (E35.1*)
A39.2	A392	Acute meningococcaemia	Nhiễm khuẩn huyết não mô cầu cấp tính
A39.3	A393	Chronic meningococcaemia	Nhiễm khuẩn huyết não mô cầu mãn tính
A39.4	A394	Meningococcaemia, unspecified	Nhiễm khuẩn huyết não mô cầu không đặc hiệu
A39.5†	A395	Meningococcal heart disease	Bệnh tim do não mô cầu
A39.8	A398	Other meningococcal infections	Nhiễm não mô cầu khác
A39.9	A399	Meningococcal infection, unspecified	Nhiễm não mô cầu, không đặc hiệu
A40	A40	Streptococcal septicaemia	Nhiễm trùng huyết do liên cầu
A40.0	A400	Septicaemia due to streptococcus, group A	Nhiễm trùng huyết do liên cầu, nhóm A
A40.1	A401	Septicaemia due to streptococcus, group B	Nhiễm trùng huyết do liên cầu, nhóm B
A40.2	A402	Septicaemia due to streptococcus, group D	Nhiễm trùng huyết do liên cầu, nhóm D
A40.3	A403	Septicaemia due to Streptococcus pneumoniae	Nhiễm trùng do Streptococcus pneumoniae
A40.8	A408	Other streptococcal septicaemia	Nhiễm trùng huyết do liên cầu khác
A40.9	A409	Streptococcal septicaemia, unspecified	Nhiễm trùng huyết do liên cầu, không đặc hiệu
A41	A41	Other septicaemia	Nhiễm trùng khác
A41.0	A410	Septicaemia due to Staphylococcus aureus	Nhiễm trùng do tụ cầu vàng
A41.1	A411	Septicaemia due to other specified staphylococcus	Nhiễm trùng do tụ cầu xác định khác
A41.2	A412	Septicaemia due to unspecified staphylococcus	Nhiễm trùng do tụ cầu không đặc hiệu
A41.3	A413	Septicaemia due to Haemophilus influenzae	Nhiễm trùng do Haemophilus influenzae
A41.4	A414	Septicaemia due to anaerobes	Nhiễm trùng do vi khuẩn kỵ khí
A41.5	A415	Septicaemia due to other Gram-negative organisms	Nhiễm trùng huyết do vi trùng gram âm khác
A41.8	A418	Other specified septicaemia	Nhiễm trùng huyết xác định khác
A41.9	A419	Septicaemia, unspecified	Nhiễm trùng huyết, không xác định
A42	A42	Actinomycosis	Bệnh do actinomyces
A42.0	A420	Pulmonary actinomycosis	Bệnh do actinomyces ở phổi
A42.1	A421	Abdominal actinomycosis	Bệnh do actinomyces ở bụng
A42.2	A422	Cervicofacial actinomycosis	Bệnh do actinomyces ở mặt - cổ
A42.7	A427	Actinomycotic septicaemia	Nhiễm trùng huyết do actinomyces
A42.8	A428	Other forms of actinomycosis	Các thể khác của nhiễm actinomyces
A42.9	A429	Actinomycosis, unspecified	Bệnh do actinomyces, không đặc hiệu
A43	A43	Nocardiosis	Bệnh do Nocardia
A43.0	A430	Pulmonary nocardiosis	Bệnh do Nocardia ở phổi
A43.1	A431	Cutaneous nocardiosis	Bệnh do Nocardia ở da
A43.8	A438	Other forms of nocardiosis	Các thể khác của bệnh nocardia
A43.9	A439	Nocardiosis, unspecified	Bệnh do Nocardia, không đặc hiệu
A44	A44	Bartonellosis	Bệnh do Bartonella
A44.0	A440	Systemic bartonellosis	Bệnh do Bartonella toàn thân
A44.1	A441	Cutaneous and mucocutaneous bartonellosis	Bệnh do Bartonella ở da và niêm mạc
A44.8	A448	Other forms of bartonellosis	Các thể khác của bệnh do Bartonella
A44.9	A449	Bartonellosis, unspecified	Bệnh do Bartonella, không đặc hiệu
A46	A46	Erysipelas	Viêm quầng (nhiễm streptococcus ở da)
A48	A48	Other bacterial diseases, not elsewhere classified	Bệnh nhiễm khuẩn khác, chưa được phân loại
A48.0	A480	Gas gangrene	Bệnh hoại thư sinh hơi
A48.1	A481	Legionnaires disease	Bệnh do Legionnaire
A48.2	A482	Nonpneumonic Legionnaires disease [Pontiac fever]	Bệnh Legionnaire không ở phổi [sốt Pontiac]
A48.3	A483	Toxic shock syndrome	Hội chứng sốc nhiễm độc
A48.4	A484	Brazilian purpuric fever	Sốt ban xuất huyết Brasil
A48.8	A488	Other specified bacterial diseases	Bệnh nhiễm khuẩn xác định khác
A49	A49	Bacterial infection of unspecified site	Nhiễm trùng ở các vị trí không xác định
A49.0	A490	Staphylococcal infection, unspecified site	Nhiễm trùng tụ cầu, không xác định được vị trí
A49.1	A491	Streptococcal infection, unspecified site	Nhiễm trùng liên cầu, không xác định được vị trí
A49.2	A492	Haemophilus influenzae infection, unspecified site	Nhiễm Haemophilus influenzae, không xác định được vị trí
A49.3	A493	Mycoplasma infection, unspecified site	Nhiễm Mycoplasma, không xác định được vị trí
A49.8	A498	Other bacterial infections of unspecified site	Nhiễm khuẩn khác, không xác định được vị trí
A49.9	A499	Bacterial infection, unspecified	Nhiễm khuẩn, không đặc hiệu
A50	A50	Congenital syphilis	Giang mai bẩm sinh
A50.0	A500	Early congenital syphilis, symptomatic	Giang mai bẩm sinh sớm, có triệu chứng
A50.1	A501	Early congenital syphilis, latent	Giang mai bẩm sinh sớm, tiềm ẩn
A50.2	A502	Early congenital syphilis, unspecified	Giang mai bẩm sinh sớm, không xác định
A50.3	A503	Late congenital syphilitic oculopathy	Bệnh lý nhãn cầu do giang mai bẩm sinh muộn
A50.4	A504	Late congenital neurosyphilis [juvenile neurosyphilis]	Giang mai thần kinh bẩm sinh muộn [giang mai thần kinh ở người trẻ]
A50.5	A505	Other late congenital syphilis, symptomatic	Giang mai bẩm sinh muộn khác, có triệu chứng
A50.6	A506	Late congenital syphilis, latent	Giang mai bẩm sinh muộn, tiềm ẩn
A50.7	A507	Late congenital syphilis, unspecified	Giang mai bẩm sinh muộn, không đặc hiệu
A50.9	A509	Congenital syphilis, unspecified	Giang mai bẩm sinh, không đặc hiệu
A51	A51	Early syphilis	Giang mai sớm
A51.0	A510	Primary genital syphilis	Giang mai sinh dục tiên phát
A51.1	A511	Primary anal syphilis	Giang mai hậu môn tiên phát
A51.2	A512	Primary syphilis of other sites	Giang mai tiên phát ở vị trí khác
A51.3	A513	Secondary syphilis of skin and mucous membranes	Giang mai thứ phát ở da và niêm mạc
A51.4	A514	Other secondary syphilis	Giang mai thứ phát khác
A51.5	A515	Early syphilis, latent	Giang mai sớm, tiềm ẩn
A51.9	A519	Early syphilis, unspecified	Giang mai sớm, không đặc hiệu
A52	A52	Late syphilis	Giang mai muộn
A52.0†	A520	Cardiovascular syphilis	Giang mai tim mạch
A52.1	A521	Symptomatic neurosyphilis	Giang mai thần kinh có triệu chứng
A52.2	A522	Asymptomatic neurosyphilis	Giang mai thần kinh không triệu chứng
A52.3	A523	Neurosyphilis, unspecified	Giang mai thần kinh, không đặc hiệu
A52.7	A527	Other symptomatic late syphilis	Giang mai muộn khác có triệu chứng
A52.8	A528	Late syphilis, latent	Giang mai muộn, tiềm ẩn
A52.9	A529	Late syphilis, unspecified	Giang mai muộn, không đặc hiệu
A53	A53	Other and unspecified syphilis	Giang mai khác và không xác định
A53.0	A530	Latent syphilis, unspecified as early or late	Giang mai tiềm ẩn, không xác định là sớm hoặc muộn
A53.9	A539	Syphilis, unspecified	Giang mai, không đặc hiệu
A54	A54	Gonococcal infection	Bệnh lậu
A54.0	A540	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess	Bệnh lậu ở đường niệu - sinh dục dưới không có áp xe quanh niệu đạo hoặc các tuyến
A54.1	A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess	Bệnh lậu ở đường niệu - sinh dục dưới có áp xe quanh niệu đạo và các tuyến
A54.2	A542	Gonococcal pelviperitonitis and other gonococcal genitourinary infections	Viêm phúc mạc tiểu khung do lậu và nhiễm trùng niệu - sinh dục khác do lậu
A54.3	A543	Gonococcal infection of eye	Bệnh lậu cầu ở mắt
A54.4†	A544	Gonococcal infection of musculoskeletal system	Bệnh lậu ở hệ cơ xương
A54.5	A545	Gonococcal pharyngitis	Viêm họng do lậu
A54.6	A546	Gonococcal infection of anus and rectum	Bệnh lậu ở hậu môn và trực tràng
A54.8	A548	Other gonococcal infections	Bệnh lậu khác
A54.9	A549	Gonococcal infection, unspecified	Nhiễm lậu cầu, không đặc hiệu
A55	A55	Clamydia lymphogranuloma (venereum)	Viêm hạch lympho do Chlamydia (Bệnh hột xoài)
A56	A56	Other sexually transmitted chlamydial diseases	Bệnh khác do chlamydia lây truyền qua đường tình dục
A56.0	A560	Chlamydial infection of lower genitourinary tract	Bệnh do chlamydia ở đường niệu - sinh dục dưới
A56.1	A561	Chlamydial infection of pelviperitoneum and other genitourinary organs	Viêm phúc mạc tiểu khung và các cơ quan niệu - sinh dục khác do chlamydia
A56.2	A562	Chlamydial infection of genitourinary tract, unspecified	Bệnh do chlamydia ở đường niệu - sinh dục, không đặc hiệu
A56.3	A563	Chlamydial infection of anus and rectum	Bệnh do chlamydia ở hậu môn và trực tràng
A56.4	A564	Chlamydial infection of pharynx	Bệnh do chlamydia ở họng
A56.8	A568	Sexually transmitted chlamydial infection of other sites	Bệnh do chlamydia lây truyền qua đường tình dục có vị trí khác
A57	A57	Chancroid	Bệnh hạ cam
A58	A58	Granuloma inguinable	U hạt ở bẹn
A59	A59	Trichomoniasis	Bệnh do trichomonas
A59.0	A590	Urogenital trichomoniasis	Bệnh do trichomonas đường niệu - sinh dục
A59.8	A598	Trichomoniasis of other sites	Bệnh do trichomonas ở vị trí khác
A59.9	A599	Trichomoniasis, unspecified	Bệnh do trichomonas, không đặc hiệu
A60	A60	Anogenital herpesviral [herpes simplex] infection	Bệnh do Herpes simplex vùng hậu môn sinh dục
A60.0	A600	Herpesviral infection of genitalia and urogenital tract	Bệnh do virus herpes ở đường sinh dục và niệu - sinh dục
A60.1	A601	Herpesviral infection of perianal skin and rectum	Bệnh do virus herpes ở da quanh hậu môn và trực tràng
A60.9	A609	Anogenital herpesviral infection, unspecified	Bệnh do virus herpes ở hậu môn - sinh dục, không đặc hiệu
A63	A63	Other predominantly sexually transmitted diseases, not elsewhere classified	Bệnh lây khác chủ yếu qua đường tình dục, chưa được phân loại
A63.0	A630	Anogenital (venereal) warts	Mụn cơm (hoa liễu) ở hậu môn - sinh dục
A63.8	A638	Other specified predominantly sexually transmitted diseases	Bệnh lây truyền chủ yếu qua đường tình dục xác định khác
